CO2,C2H4,C2H2,C2H6,CH4,CO,H2
3422,3,0,4,11,696,0
3880,6,0,5,14,1144,0
3817,6,0,5,15,1181,0
1829,4,0,201,68,19,0
1613,5,0,220,76,0,0
325,0,0,8,9,91,0
403,3,0,17,16,119,0
2615,24,0,218,98,23,0
2471,22,0,237,102,0,0
2755,16,0,195,43,12,0
2728,15,0,194,42,11,0
831,4,0,13,9,98,0
1383,4,0,19,16,142,0
2301,10,0,296,114,226,18
1965,11,0,298,123,243,17
1458,11,0,329,126,224,8
1119,10,0,319,139,293,16
1420,10,0,337,148,316,0
2562,7,0,246,95,195,7
1983,6,0,253,97,185,10
1377,7,0,286,103,172,0
1399,7,0,287,121,250,0
1634,8,0,299,123,246,0
8773,18,0,5,26,556,8
4604,12,0,0,7,297,0
4677,18,0,0,10,398,0
6153,21,0,3,12,468,0
9136,14,0,11,56,400,10
3907,7,0,6,24,170,0
4152,8,0,8,33,194,0
4717,19,0,7,20,254,0
4081,20,0,7,21,288,0
4548,7,0,187,80,334,55
6574,8,0,231,117,331,81
8560,8,0,228,118,326,110
7503,9,0,243,120,307,142
11401,9,0,264,124,293,164
9135,9,0,261,145,429,318
7951,9,0,258,135,371,326
4087,23,0,126,69,234,20
6284,30,0,163,108,240,40
7800,29,0,159,107,234,52
6639,29,0,166,107,212,42
10683,30,0,187,116,225,75
9238,26,0,189,142,341,203
506,3,0,0,8,81,0
3403,4,0,71,46,505,16
6849,7,0,155,86,479,18
4195,7,0,156,94,633,31
3330,5,0,108,61,388,0
5061,7,0,182,108,668,24
4714,9,0,9,24,600,0
8129,12,0,74,93,444,8
4456,11,0,100,118,576,24
3558,9,0,89,85,361,0
4471,11,0,155,135,512,0
2440,44,0,236,56,182,40
2952,17,0,3,9,304,0
1063,18,0,47,15,247,10
1089,22,0,39,14,146,32
4234,12,0,0,12,655,0
434,17,0,0,1,152,10
680,0,0,0,2,11,0
2651,74,0,10,5,455,0
5542,10,0,25,4,337,0
6603,0,0,0,11,295,8
6865,20,0,0,13,302,48
6865,20,0,0,13,302,48
5775,16,0,0,6,371,20
2071,0,0,0,2,141,43
2161,15,0,0,15,259,21
12693,0,0,2,0,776,10
569,0,0,0,0,66,0
526,0,0,0,0,54,0
1207,0,0,0,0,196,0
736,10,0,0,3,160,28
1596,0,0,0,0,173,0
4611,41,0,0,9,603,30
2140,28,0,198,42,173,20
3410,13,0,3,10,256,20
3011,11,0,1,4,427,18
2643,35,0,42,27,362,12
5341,18,0,8,22,284,0
246,0,0,0,0,10,49
1741,18,0,7,9,422,16
1264,12,0,0,3,151,7
2041,4,0,31,9,351,14
1089,0,0,0,0,43,12
4408,16,2,19,16,414,32
1686,10,1,426,10,72,36
2362,8,1,204,8,91,35
3323,33,11,22,33,502,79
2608,44,2,19,44,323,11
2532,12,2,502,12,151,31
2129,30,0,784,30,117,5
1682,17,0,284,17,207,15
1978,14,1,139,14,190,54
3140,9,1,8,9,539,10
2199,32,0,857,32,122,0
5725,1,2,12,1,1080,93
2050,20,0,3,20,138,85
1333,4,1,161,4,88,51
1395,10,2,170,10,71,73
2480,11,0,94,11,83,45
1899,7,1,7,7,417,0
681,4,1,7,4,269,0
2861,13,1,312,13,237,19
2834,9,0,243,9,164,29
1977,19,0,177,19,133,18
3791,67,1,39,67,334,0
2105,10,0,17,10,262,0
2666,7,1,5,7,503,23
2529,52,2,193,52,185,39
1145,12,0,123,12,127,18
6921,6,1,12,6,318,13
2161,4,1,3,4,547,5
2477,31,4,129,31,341,25
1008,13,0,299,13,157,15
7821,29,0,640,29,247,74
170,739,1224,209,739,35,27
1937,8,1,101,8,118,9
2682,11,1,112,11,134,6
2007,9,0,136,9,109,24
2497,9,1,197,9,188,25
9984,31,2,27,31,559,45
3580,19,0,321,19,212,21
2548,41,0,291,41,182,28
7367,15,3,10,15,1601,51
6558,4,3,16,4,1094,70
1803,57,0,1045,57,134,7
1290,27,0,547,27,128,5
1586,5,1,8,5,426,8
1412,5,1,5,5,332,11
1526,5,1,6,5,357,13
4932,15,1,18,15,805,10
3003,23,1,173,23,290,12
7040,19,1,25,19,533,18
4936,18,2,10,18,657,5
3003,23,1,173,23,290,12
7040,19,1,25,19,533,18
4936,18,2,10,18,657,5
3895,8,1,17,8,255,20
3409,13,1,139,13,217,28
1974,8,1,7,8,478,0
2417,12,1,8,12,217,18
8872,37,3,17,37,854,166
8162,12,1,12,12,1603,12
7650,14,1,13,14,1585,16
6481,2,0,17,2,734,31
1813,11,1,280,11,118,32
1636,1,1,129,1,422,9
8625,17,1,30,17,704,124
12527,14,14,37,14,1212,32
7043,9,0,19,9,742,58
4791,12,3,8,12,1216,40
5533,19,1,15,19,579,70
4489,10,3,14,10,434,34
4415,5,1,8,5,767,13
9760,174,1,121,174,485,8
3203,96,2,180,96,260,40
2538,13,0,12,13,195,9
9532,43,3,48,43,331,34
9556,46,0,95,46,706,39
4247,19,0,169,19,346,33
3193,11,0,287,11,274,38
1525,16,0,12,16,270,0
411,7,0,5,7,217,0
2505,4,0,35,4,301,57
5018,30,0,329,30,148,6
3172,74,1,25,74,448,16
2697,113,1,127,113,191,38
3360,59,1,18,59,317,16
2598,3,0,28,3,146,16
3681,7,0,28,7,284,41
1314,22,1,112,22,80,26
1501,9,2,112,9,74,27
2342,12,1,317,12,187,29
2365,13,0,569,13,138,13
4795,14,1,18,14,556,40
6351,29,0,87,29,289,20
1568,9,0,536,9,112,15
1149,21,1,233,21,58,41
2329,5,1,15,5,330,0
1441,6,1,9,6,219,0
4517,68,5,67,68,529,73
2468,98,1,421,98,197,18
1545,13,0,351,13,180,23
4211,6,1,58,6,450,68
1354,16,2,595,16,164,16
3371,3,0,86,3,266,37
2722,56,1,1306,56,230,22
2823,62,2,17,62,236,9
3680,41,0,23,41,334,17
1368,5,2,7,5,342,26
4367,30,3,6,30,1020,59
1389,6,2,10,6,159,18
1358,4,1,5,4,299,54
3223,25,1,787,25,208,8
3984,19,1,452,19,238,0
2740,52,0,12,52,645,15
1256,5,1,10,5,238,0
3641,10,2,12,10,498,23
5781,17,4,8,17,708,71
4333,6,1,13,6,151,16
8349,12,0,45,12,404,57
10759,12,0,26,12,709,17
1891,18,1,484,18,125,35
2709,1,0,44,1,108,39
2482,5,0,28,5,112,43
1808,4,1,27,4,128,20
6824,29,1,39,29,529,33
4114,10,2,34,10,84,31
3354,7,1,6,7,660,47
3364,8,2,19,8,584,27
887,2,0,6,2,242,5
939,2,0,1,2,335,5
6841,68,2,16,20,904,49
12062,166,0,39,88,422,143
7679,31,0,30,14,554,70
15218,13,2,31,62,570,62
7581,24,0,342,154,478,91
14640,3,0,154,143,394,153
4046,62,0,44,40,333,66
1829,12,0,518,122,209,38
2285,5,0,126,57,193,19
2367,13,1,163,38,191,17
2568,11,0,261,83,212,59
3370,3,0,248,73,128,35
4500,68,0,538,198,172,12
1662,1,0,115,41,73,41
1890,7,1,128,41,74,39
2639,2,0,7,10,523,10
533,1,1,2,4,142,7
366,1,1,0,3,81,0
3288,43,0,218,93,185,75
3543,44,0,228,98,199,87
2062,6,1,53,31,87,6
3653,7,0,85,88,151,16
789,3,2,8,5,192,7
5073,5,1,104,42,284,38
2797,17,0,463,149,214,69
2473,12,1,116,54,110,55
4781,1,2,57,52,496,64
3059,15,0,167,55,182,42
468,2,0,12,3,144,6
773,2,1,4,0,261,8
6052,55,0,19,23,455,190
15043,9,0,21,29,734,73
742,3,0,3,5,137,7
390,1,2,0,6,66,0
1851,19,0,569,186,153,18
5175,152,0,22,81,372,45
2123,7,0,68,44,206,38
5698,33,0,385,144,342,50
4536,13,0,337,108,180,92
9172,68,0,511,180,682,55
3427,10,0,451,152,182,71
2955,11,0,276,79,157,12
1881,36,0,32,38,44,12
4106,7,0,67,45,154,8
7505,24,0,7,17,795,40
3596,32,0,543,100,297,34
4788,20,0,731,100,208,45
6368,13,0,343,127,306,32
3575,22,0,452,112,148,20
12146,91,0,43,28,676,359
11631,16,0,18,26,337,316
1321,8,1,148,30,59,75
1213,7,0,148,47,58,75
9955,165,1,47,142,480,66
2199,10,0,198,44,162,31
1353,13,0,392,69,121,43
2097,26,0,80,45,131,33
10933,3,0,18,39,518,78
2664,24,0,593,76,270,39
3203,8,1,244,98,273,20
1600,9,0,294,46,57,37
3732,75,0,653,86,372,29
2006,4,0,38,32,102,6
403,5,0,2,1,90,6
376,3,0,3,4,94,8
5232,10,1,471,142,265,63
