score,Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,R12.8,R12.9,R12.10,R23.8,R23.9,R31.3,R31.9,R31.10,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Surge1 loss,Surge1 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
82.8,2.6296,1.6506,1.239,122.2233,96.0613,8.7252,8.6171,8.5094,8.7253,8.6172,9.2648,8.6172,8.5093,26.3,12.6417,0.1247,20.0796,0.216,60.7333,90.3,185.958,0.2574,142.7,0,3169,17,0,927,265,231,640,0,20,596,81009
91.1917,2.9412,2.3889,2.3,122.83,96.588,8.725,8.6173,8.5091,8.7246,8.6168,9.2648,8.6175,8.5093,40.8,11.8975,0.137,19.7404,0.238,60.8667,60,190.696,0.5863,27.6,0,8711,5,0,266,210,754,26,189,64,804,70086
94.6583,3,3,3,70,78,8.7253,8.6176,8.5092,8.7259,8.6177,9.2671,8.6177,8.5093,20,10,0.01,20,0.01,60,61.8333,200,0.01,40,0,8147,9,0,310,188,454,26,212,85,1804,54017
91.9917,1.794,1.6909,1.8942,104.52,82.9573,8.7207,8.6182,8.5087,8.7216,8.6183,9.2636,8.6185,8.5087,18.26,8.2234,0.0714,14.7271,0.0931,59.6833,85.0167,171.586,0.3801,25,0,2191,5,0,23,33,165,16,23,0,17712,81026
92.7917,1.7276,1.4039,1.8922,104.14,82.6457,8.7267,8.6244,8.5141,8.7267,8.6243,9.2704,8.6244,8.514,22.34,8.2152,0.0763,15.0031,0.1133,55.5833,83.95,167.824,0.359,27.8,0,6795,8,0,55,77,342,21,39,14,3992,49803
88.3917,2.2623,1.8473,1.0945,122.9367,96.583,8.7251,8.6173,8.5094,8.7267,8.6189,9.2647,8.617,8.5088,28.26,12.1644,0.1407,20.1546,0.2986,58.2,63.3167,170.116,0.2983,32.9,0,10167,9,0,329,204,475,41,247,35,13511,5871
90.2667,2.1929,1.6612,1.1459,123.37,97.028,8.725,8.617,8.509,8.7302,8.6218,9.2668,8.62,8.5117,26.9,11.7689,0.1219,19.2789,0.3052,74.2,73.7667,171.684,0.2994,30.6,0,8952,8,0,325,169,408,59,257,29,8526,5597
100,3,3,3,,,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,3.1523,0.1993,3.5123,0.1968,81.6833,81.65,264.98,0.2518,4.3,10,7854,322,,407,483,178,276,255,734,4123,4651
89.3333,2.1667,1.5147,1.1154,122.2667,96.0903,8.7246,8.6166,8.5088,8.7253,8.6167,9.2647,8.617,8.5093,120.1,12.3506,0.1338,20.2423,0.2892,62.35,65.5333,168.598,0.4112,23.5,0,4828,7,0,378,216,519,26,268,31,2783,82290
89.3333,2.3333,1.5577,1.1033,123.2267,96.832,8.725,8.6171,8.5091,8.725,8.617,9.2647,8.617,8.509,52.44,12.2308,0.1117,20.1173,0.3137,80.7333,79.8333,171.946,0.3962,23,0,5672,7,0,311,199,631,25,221,63,2258,63558
81.8333,2.2708,2.2258,1.6729,100.0817,78.8223,8.7276,8.6191,8.5107,8.7303,8.6222,9.2704,8.6195,8.5111,14.63,9.0024,0.1573,9.0024,0.1399,48.8667,48.1667,192.052,0.1598,40.6,10,3271,12,0,504,223,290,80,374,15,32,0
100,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,65.1,0,2401,4,0,9,18,133,,,30,2008,22601
89.3333,1.5575,1.2922,1.3704,93.4007,73.949,8.724,8.6189,8.5136,7.7238,8.6187,9.2492,8.6185,8.5136,43.05,9.9766,0.1003,23.2343,0.1334,70.2333,60.6167,231.64,,38,0,7259,8,0,85,99,202,8,46,49,1294,4219
90.2667,1.6524,1.3947,1.4184,91.994,72.8373,8.7238,8.6183,8.5131,8.7234,8.6189,9.2492,8.6185,8.5132,52.47,10.2516,0.1265,21.9348,0.1559,75.05,62.1167,207.394,0.1632,38.6,0,9477,10,0,170,162,165,16,105,39,4438,5705
86.5167,1.263,1.3152,1.2353,91.7383,72.761,8.7283,8.6189,8.5137,8.7238,8.6188,9.2493,8.6185,8.5135,59.65,10.1952,0.162,21.8521,0.1983,47.7833,62.35,203.69,0.2967,35.45,0,7097,,80,,,308,,1234,529,7242,72102
96,3,3,3,92.6667,73.6667,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,6.3633,0.1274,6.3633,0.1274,84.05,81.4667,,,118.8,1,6732,32,0,206,217,741,68,139,0,3956,82538
98.125,3,3,3,92,73,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,50.2167,65.3,200,0.01,40,0,8478,10,0,180,176,382,33,108,37,1588,82639
94.5167,3,3,3,92,73,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,60,60,200,0.01,40,0,9121,11,0,202,197,375,62,125,128,237,89898
89.05,1.7351,1.3925,1.8793,92.1477,73.198,8.7316,8.6263,8.521,8.7316,8.6269,9.258,8.626,8.5208,33.78,10.0657,0.1051,20.0528,0.1261,49.5667,86.6,204.585,0.3302,51.3,10,8350,10,0,98,158,286,58,0,58,2803,74468
89.3333,1.6369,1.6532,1.2674,91.1857,72.2677,8.724,8.6194,8.5138,8.7242,8.619,9.2517,8.6205,8.5161,97.83,10.405,0.1419,22.2032,0.1825,61.1,70.45,227.442,0.3153,25.5,0,6078,15,0,125,142,332,31,82,0,9872,87865
80.75,1.101,1.0605,1.1129,91.9207,72.7943,8.7235,8.6191,8.5135,8.7237,8.6187,9.249,8.6186,8.5231,69.64,10.4319,0.2047,23.5241,0.2649,35.55,39.3167,227.891,0.1366,68.5,0,11485,54,0,48,70,490,43,42,0,6704,80388
89.3333,3.1209,1.7977,2.6588,100.7933,78.4403,8.7247,8.6165,8.509,8.724,8.6166,9.2643,8.6168,8.5087,52.51,10.3369,0.1396,18.5255,0.1872,79.6833,82.05,,,63.4,0,6470,28,0,541,257,284,50,338,37,7930,96447
88.6667,1.3107,1.27,1.2462,87.6197,69.865,8.7236,8.617,8.5101,8.7238,8.6171,9.2566,8.6168,8.5104,23.96,7.6354,0.4787,15.6869,0.781,77.3833,88.8833,264.241,0.1494,104,0,8600,17,0,448,253,330,37,290,0,1068,66891
100,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,65.1,0,1643,12,0,233,132,336,33,199,20,586,70726
91.2,2.0833,1.4643,2,97.905,76.1773,8.7256,8.6183,8.5105,8.7257,8.6182,9.2632,8.6182,8.5106,15.57,12.3351,0.1017,22.294,0.1868,80.3167,96.8,257.754,0.2411,43.8,0,2271,8,0,24,20,143,42,30,0,1236,3481
91.2,2.0202,1.8036,1.306,98.419,76.6133,8.7252,8.6182,8.5104,8.7256,8.6179,9.263,8.6183,8.5104,61.73,12.0962,0.1074,22.3899,0.2862,88.8833,64.65,256.225,0.1099,40.8,0,2584,9,17,60,66,42,49,55,0,9170,4126
88.3917,2.2857,1.8872,1.7982,98.1543,76.397,8.726,8.6188,8.5113,8.7446,8.6357,9.2631,8.6174,8.5099,19.48,12.1882,0.1104,21.9216,0.3491,74.95,56.3167,261.333,0.1158,40.56,0,1535,13,16,226,82,31,48,156,14,3620,5382
89.3333,1.5144,1.2948,1.4754,95.9753,75.469,8.7344,8.626,8.5177,8.7316,8.619,9.2912,8.6182,8.5102,25.45,10.3932,0.0872,24.206,0.121,68.9667,62.3667,196.748,0.2546,50.2,0,4677,18,0,0,10,398,16,0,0,10085,76953
92.8,2.25,1.4385,1.4157,95.4567,74.9497,8.7316,8.6253,8.5178,8.7263,8.6178,9.2833,8.6308,8.524,85.52,10.3455,0.0954,22.5369,0.1049,76.2167,76.5833,190.05,0.297,49.9,0,4152,8,0,8,33,194,16,15,0,6491,40551
92.8,1.3947,1.3253,1.6667,95.3773,74.8967,8.7342,8.6254,8.5167,8.734,8.6253,9.2777,8.6253,8.5166,50.48,10.5952,0.1217,21.9529,0.1315,74.4,77.35,205.338,0.2446,48.7,10,5192,9,0,8,25,229,16,0,0,2988,44530
91.0667,1.031,1.243,1.4839,92.838,75.111,8.7341,8.6254,8.5167,8.7413,8.6326,9.2777,8.6252,8.5165,61.53,10.4767,0.1348,,,66.0333,86.6,204.342,0.2604,60.6,10,8539,8,0,24,53,269,23,0,21,4523,58017
100,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,65.1,0,8960,9,0,7,27,69,31,0,0,2332,2653
85.5833,1.5528,1.4912,1.3958,95.1997,74.733,8.7197,8.6106,8.5019,8.7184,8.6102,9.2686,8.6178,8.5093,65.68,10.5205,0.1094,22.378,0.153,55.7833,52.5667,202.704,0.1636,39.7,0,3349,5,0,3,16,243,0,0,0,19726,4959
83.8417,2.4762,2.0167,1.4737,101.6367,78.8187,8.7263,8.6176,8.5094,8.7267,8.6178,9.269,8.6179,8.5096,36.34,10.5733,0.2053,19.9752,0.2181,49.7,50.25,196.827,0.1678,119.7,0,8954,7,0,299,143,313,32,210,15,12540,5435
83.5833,2.0822,1.5177,1.6319,101.1567,78.428,8.7261,8.618,8.5093,8.7267,8.6178,9.269,8.618,8.5096,23.09,10.6617,0.1183,20.0036,0.2324,80.1833,42.35,171.355,0.4279,102.9,0,10865,10,0,416,217,319,37,293,16,6188,5309
80.5333,1.3699,1.1496,1.2556,88.7188,69.6786,8.7155,8.6075,8.4996,8.7156,8.6079,9.2553,8.6077,8.4996,15.75,9.6129,0.2068,18.6266,0.1899,66.8167,69.475,175.998,0.3124,63.6,0,11285,56,0,305,177,440,59,122,241,2266,74838
91.0583,1.2838,2,1.4163,91.761,72.0677,8.7159,8.6081,8.4999,8.7158,8.6081,9.2559,8.608,8.5002,23.66,9.5509,0.1833,18.1065,0.3064,54.5,69.2333,175.549,0.215,79.3,0,7550,13,0,103,85,436,21,62,328,1971,57295
87.45,1.9063,1.4368,1.479,98.558,76.6727,8.733,8.6213,8.5177,8.7178,8.6102,9.2721,8.6256,8.5179,37.59,12.499,0.1646,22.3923,0.3743,56.4833,57.75,242.836,0.1741,49.6,0,403,3,0,17,16,119,16,21,0,1056,12387
94.6667,1.8812,1.35,1.6351,97.9993,76.3343,8.7261,8.6189,8.5111,8.7261,8.6187,9.2633,8.6184,8.5107,27.16,12.6858,0.1452,22.8733,0.275,77.3833,82.9,257.435,0.2209,32,0,1383,4,0,19,16,142,29,26,0,16564,69176
89.3333,2.3096,1.6977,1.8594,98.0283,76.1083,8.728,8.6204,8.5127,8.7281,8.6203,9.2661,8.6203,8.5126,30.7,12.4842,0.1288,21.9123,0.201,66.3833,96.1667,257.074,0.2186,80.7,0,1300,7,0,195,86,23,33,142,0,2040,77598
100,3,3,3,,,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,5.9297,0.1433,5.9297,0.1413,68.9833,79.6667,178.324,0.3744,36.9,10,1398,7,0,184,85,31,33,138,0,2238,85957
93.8667,1.6886,1.5287,1.6311,98.338,76.5263,8.7256,8.6181,8.5103,8.7256,8.6181,9.2634,8.6186,8.5109,22.34,12.4878,0.1248,22.1003,0.2255,82.8333,61.4833,260.859,0.3487,73.1,0,2820,5,0,205,82,40,48,166,0,1701,4114
84.3333,1.6429,1.4983,1.1505,98.3847,76.5893,8.7268,8.6195,8.5116,8.727,8.6199,9.2654,8.6193,8.5121,19.43,12.4784,0.1027,,0.1793,81.0333,86.6,,,36.4,10,3371,6,0,252,115,59,26,186,0,3613,64482
81.8333,1.2383,1.1005,1.2205,90.821,71.4243,8.7162,8.6082,8.5002,8.7165,8.6084,9.2563,8.6084,8.5001,28.12,9.6575,0.1457,18.7655,0.621,71.1833,67.6833,176.831,0.3953,26.2,0,12726,11,0,98,88,329,28,60,8,6606,5573
89.3333,1.2171,1.123,1.2143,90.9,71.4617,8.716,8.6084,8.5005,8.7166,8.6086,9.2559,8.6082,8.5005,25.43,9.6387,0.2252,18.6165,0.5505,72.8167,66.1667,178.157,0.3531,171.2,0,13417,10,0,186,104,260,50,119,56,9524,5754
89.1917,1.2324,1.0635,1.1654,91.8623,72.254,8.7202,8.6122,8.5038,8.7206,8.6123,9.2611,8.6119,8.5038,30.06,9.5447,0.3683,18.7117,0.3683,75.3,57.0667,174.505,0.3814,35.2,0,,,,,,,,,,,
93.8667,1.2148,1.1143,1.8138,90.928,71.5167,8.7219,8.6139,8.5057,8.7199,8.6113,9.2604,8.6117,8.5033,29.63,9.6709,0.1766,20.0057,0.6049,78.2833,77.4333,178.315,0.399,52,0,,,,,,,,,,,
85.4417,1.2926,1.1962,1.3278,90.711,71.2203,8.7153,8.6074,8.4995,8.7155,8.6074,9.2548,8.6075,8.4992,16.47,9.807,0.1826,18.7839,0.1885,78.0667,28.9333,176.739,0.1863,17.1,0,12806,9,0,179,139,423,20,105,254,2470,74326
82.85,1.4301,1.2249,0,90.223,70.8287,8.7154,8.6073,8.4995,8.7152,8.6074,9.2555,8.6079,8.4997,32.2,10.004,0.1954,18.3374,0.6137,67.2167,46.4167,177.508,0.188,78.1,0,11372,5,0,179,110,336,7,112,2229,3538,4699
85.5667,3,3,3,90.6667,71,8.7361,8.6287,8.5208,8.7359,8.6281,0.2744,8.6283,8.5201,20,7.0854,0.3084,7.0856,0.3059,41.6167,42.95,259.903,0.2095,42.5,10,16524,8,0,84,70,234,20,54,279,2285,31785
87.325,1.1413,1,2,90.6973,71.3027,8.7178,8.6099,8.5018,8.7172,8.6095,9.2585,8.6009,8.5008,35.16,9.6653,0.1286,,,74.6667,59.15,178.56,0.1843,36.6,0,14391,116,0,187,166,382,89,126,83,253,4527
91.7333,1.3533,1.5714,1.1212,91.6197,72.0007,8.7157,8.6079,8.5,8.7158,8.6077,9.2554,8.6079,8.4998,42.4,3.7635,0.2944,12.7161,0.5929,72.8333,64.4333,175.89,0.4055,34.5,0,14680,23,5,383,127,229,37,166,139,6171,5026
89.3333,1.3571,1.1297,1.2978,73.2677,73.2263,8.7161,8.6084,8.5003,8.7162,8.6083,9.2561,8.6081,8.5002,20.93,9.667,0.1641,18.4462,0.3129,86.55,94.5167,174.859,0.3959,15.7,0,12018,10,0,307,114,273,15,114,150,13397,5495
92.9333,1.3659,1.1283,1.2841,90.9717,71.4643,8.7161,8.6083,8.5003,8.716,8.6083,9.2561,8.6082,8.5001,19.65,9.7883,0.1825,19.2264,0.4309,77.3,89.5833,172.552,0.4062,43.2,0,11854,10,0,307,110,330,15,118,174,8852,5519
92.8,2.5878,1.781,2.5297,98.8813,77.0463,8.7264,8.6186,8.511,8.7265,8.6191,9.2632,8.6182,8.5106,15.28,12.2582,0.1888,22.0327,0.24,69.3667,64.1833,236.621,0.3713,45.4,0,529,3,0,12,13,210,20,23,0,12693,63295
92.1333,2.0493,1.586,2.6602,99.1043,77.2157,8.7262,8.6188,8.5112,8.7261,8.6187,9.2634,8.6184,8.5109,13.06,12.4189,0.1684,22.5443,0.225,88.0167,63.6167,251.086,0.2534,46.6,0,443,3,0,15,9,92,0,20,0,11043,55688
100,3,3,3,95,74.3333,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,64.3167,74.3167,200,0.01,40,0,9077,5,0,6,32,349,20,31,18,10838,90565
89.3333,0.8204,1.6534,1.5905,97.3667,76.3167,8.7135,8.605,8.4962,8.7124,8.6047,9.2569,8.6046,8.4965,19.42,9.9548,0.0763,9.9548,0.0885,83.8333,83.8333,193.562,0.4752,20.9,10,7350,9,0,3,12,186,45,25,0,14826,4950
93.0667,2,2.6994,4.1818,83.9148,65.3227,8.719,8.61,8.501,8.719,8.61,9.263,8.623,8.515,14.223,13.6787,0.16,21.1271,0.19,70.6,66.95,172.07,0.38,53.9,0,8422,82,0,3,12,1078,8,11,16,15102,5087
93.7333,1.3588,1.5102,1.2464,96.438,75.2017,8.7115,8.604,8.4954,8.7122,8.6038,9.2525,8.6037,8.4949,83.71,13.4187,0.0883,21.1933,0.1287,82.45,69.0333,174.896,0.3818,19.9,0,10457,5,0,6,29,202,20,39,0,1784,63381
87.4583,1.6069,1.5403,1.2743,97.79,76.2333,8.7201,8.6118,8.5042,8.7211,8.6124,9.2616,8.6116,8.8035,19.6,9.6473,0.1377,16.3218,0.2044,57.5833,86.6,,,56.3,10,2955,12,0,0,2,244,0,0,0,7313,31776
90.2667,1.5,1.2387,1.2695,94.2723,73.9957,8.7219,8.6138,8.5053,8.7227,8.6138,9.2635,8.6139,8.5056,36.83,9.4829,0.1179,16.3189,0.1793,68.3,74.4667,248.909,0.2395,61.7,0,4774,17,0,4,12,777,30,0,0,24140,98633
87.4583,1.4219,1.3527,1.4839,93.7653,73.564,8.7196,8.6113,8.5031,8.7195,8.6113,9.2604,8.6116,8.5032,23.63,9.5758,0.095,16.3964,0.1579,58,78.25,252.848,0.2684,40.7,0,5651,25,0,5,21,499,26,0,41,6871,56351
96.25,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,63.2333,57.7083,172.37,0.38,65.1,0,6034,27,0,7,23,850,30,15,58,13058,81604
