Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8
0.0000,50.8000,0.0000,1292.0000,5.0000,0.0000,0.0000,6.0000,952.0000,14.0000,0.0000
0.0000,43.9000,0.0000,3104.0000,6.0000,0.0000,141.0000,110.0000,345.0000,22.0000,97.0000
0.0000,40.0000,0.0000,3646.0000,4.0000,0.0000,9.0000,48.0000,395.0000,16.0000,16.0000
0.0000,104.2000,0.0000,1137.0000,0.0000,0.0000,0.0000,4.0000,408.0000,0.0000,0.0000
0.0000,116.5000,0.0000,2115.0000,5.0000,0.0000,72.0000,81.0000,297.0000,21.0000,55.0000
0.0000,124.1000,0.0000,2044.0000,4.0000,0.0000,18.0000,50.0000,153.0000,18.0000,21.0000
0.0000,60.5000,0.0000,2092.0000,3.0000,0.0000,0.0000,8.0000,1127.0000,2.0000,2.0000
0.0000,72.8000,0.0000,,,,,,,,
0.0000,560.4000,0.0000,,,,,,,,
0.0000,121.2000,0.0000,,,,,,,,
0.0000,31.4000,0.0000,161.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000
0.0000,30.0000,0.0000,,,,,,,,
0.0000,37.2000,0.0000,,,,,,,,
0.0000,73.4000,0.0000,2097.0000,3.0000,0.0000,0.0000,9.0000,815.0000,0.0000,0.0000
0.0000,51.0000,0.0000,2005.0000,0.0000,0.0000,0.0000,7.0000,793.0000,0.0000,0.0000
0.0000,21.6000,0.0000,8343.0000,8.0000,0.0000,5.0000,22.0000,640.0000,20.0000,22.0000
0.0000,90.2000,0.0000,2431.0000,10.0000,0.0000,258.0000,151.0000,270.0000,29.0000,176.0000
0.0000,,0.0000,771.0000,3.0000,0.0000,0.0000,2.0000,373.0000,0.0000,0.0000
0.0000,69.3000,0.0000,1812.0000,5.0000,0.0000,7.0000,12.0000,338.0000,15.0000,15.0000
0.0000,26.6000,0.0000,655.0000,0.0000,0.0000,0.0000,4.0000,328.0000,0.0000,0.0000
0.0000,28.4000,0.0000,755.0000,4.0000,0.0000,39.0000,32.0000,156.0000,15.0000,33.0000
0.0000,38.9000,0.0000,2871.0000,7.0000,0.0000,5.0000,35.0000,623.0000,19.0000,14.0000
0.0000,33.0000,0.0000,1660.0000,4.0000,0.0000,3.0000,15.0000,334.0000,15.0000,0.0000
0.0000,53.1000,0.0000,1124.0000,3.0000,0.0000,0.0000,2.0000,461.0000,0.0000,0.0000
0.0000,37.0000,0.0000,,,,,,,,
0.0000,60.8000,0.0000,4471.0000,6.0000,0.0000,114.0000,69.0000,465.0000,21.0000,98.0000
0.0000,32.5000,0.0000,802.0000,3.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000
0.0000,29.5000,0.0000,,,,,,,,
0.0000,51.7000,0.0000,6474.0000,5.0000,0.0000,0.0000,13.0000,552.0000,16.0000,13.0000
0.0000,28.4000,0.0000,,,,,,,,
0.0000,36.6200,0.0000,1069.0000,5.0000,0.0000,53.0000,28.0000,232.0000,16.0000,45.0000
0.0000,40.7000,0.0000,,,,,,,,
0.0000,55.6000,0.0000,1732.0000,4.0000,0.0000,7.0000,28.0000,214.0000,18.0000,15.0000
0.0000,35.7000,0.0000,,,,,,,,
0.0000,45.9160,0.0000,1000.0000,0.0000,0.0000,0.0000,2.0000,450.0000,0.0000,0.0000
0.0000,40.0000,0.0000,2356.0000,0.0000,0.0000,0.0000,6.0000,1026.0000,0.0000,0.0000
0.0000,97.6000,0.0000,1038.0000,7.0000,0.0000,0.0000,4.0000,525.0000,0.0000,0.0000
0.0000,63.2000,0.0000,673.0000,0.0000,0.0000,0.0000,2.0000,386.0000,0.0000,0.0000
0.0000,40.0000,0.0000,1026.0000,5.0000,0.0000,11.0000,28.0000,332.0000,16.0000,17.0000
0.0000,40.0000,0.0000,522.0000,0.0000,0.0000,0.0000,1.0000,293.0000,0.0000,0.0000
0.0000,40.0000,0.0000,515.0000,0.0000,0.0000,0.0000,1.0000,297.0000,0.0000,0.0000
0.0000,40.0000,0.0000,1770.0000,0.0000,0.0000,0.0000,6.0000,832.0000,0.0000,0.0000
0.0000,40.0000,0.0000,797.0000,0.0000,0.0000,0.0000,3.0000,446.0000,0.0000,0.0000
0.0000,46.6000,0.0000,3758.0000,8.0000,0.0000,95.0000,83.0000,487.0000,25.0000,72.0000
0.0000,40.0000,0.0000,161.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000
0.0000,40.0000,0.0000,1035.0000,0.0000,0.0000,0.0000,2.0000,420.0000,0.0000,0.0000
0.0000,40.0000,0.0000,994.0000,4.0000,0.0000,33.0000,19.0000,120.0000,15.0000,32.0000
0.0000,40.0000,0.0000,1493.0000,5.0000,0.0000,34.0000,22.0000,191.0000,15.0000,33.0000
,,,518.0000,3.0000,0.0000,0.0000,11.0000,108.0000,0.0000,0.0000
0.0000,63.2000,0.0000,431.0000,0.0000,0.0000,0.0000,1.0000,221.0000,0.0000,0.0000
0.0000,63.2000,0.0000,837.0000,0.0000,0.0000,0.0000,4.0000,442.0000,0.0000,0.0000
0.0000,63.2000,0.0000,856.0000,8.0000,0.0000,3.0000,3.0000,25.0000,15.0000,0.0000
0.0000,63.2000,0.0000,272.0000,,,438.0000,,473.0000,153.0000,171.0000
0.0000,63.2000,0.0000,2707.0000,6.0000,0.0000,5.0000,28.0000,388.0000,2.0000,7.0000
0.0000,63.2000,0.0000,187.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000
0.0000,63.2000,0.0000,1014.0000,3.0000,0.0000,0.0000,7.0000,352.0000,14.0000,0.0000
0.0000,63.2000,0.0000,3052.0000,,,422.0000,,615.0000,368.0000,54.0000
0.0000,63.2000,0.0000,7240.0000,8.0000,0.0000,303.0000,229.0000,385.0000,25.0000,198.0000
0.0000,63.2000,0.0000,983.0000,5.0000,0.0000,0.0000,4.0000,795.0000,15.0000,0.0000
0.0000,63.2000,0.0000,8138.0000,10.0000,0.0000,166.0000,84.0000,469.0000,26.0000,144.0000
0.0000,63.2000,0.0000,7755.0000,4.0000,0.0000,4.0000,23.0000,642.0000,16.0000,14.0000
