CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2,Score
2618,7,0,281,110,120,17,199,13,6187,5132,89.33333333
7553,9,0,324,174,336,62,230,26,18167,0,89.33333333
2797,6,0,3,10,621,0,37,0,8637,3226,92.13333333
2698,6,0,298,137,260,27,206,30,13444,95861,92.13333333
2824,6,0,234,112,243,26,166,26,5921,67753,92.13333333
5501,5,0,5,23,1035,17,27,0,1905,48134,92.8
7608,7,0,7,29,614,19,27,20,6366,76752,92.8
5669,5,0,5,24,727,2,3,0,4907,61393,93.73333333
3520,4,0,4,17,1204,16,21,0,2613,47124,93.73333333
8763,11,0,8,33,599,4,7,0,3768,81988,91.06666667
5072,3,0,3,15,572,0,59,10,13407,5190,89.33333333
3049,3,0,3,14,1162,0,19,0,3491,35180,94.65833333
5555,10,0,5,42,1949,15,20,0,12173,91990,92.8
6703,8,0,351,223,518,30,240,36,1709,53616,100
6802,6,0,279,154,278,50,214,20,1237,3639,81.33333333
8603,5,0,334,152,359,48,255,16,2623,3137,90.26666667
7344,63,0,298,211,384,82,238,19,1603,5303,84.13333333
5985,27,0,718,238,271,59,559,31,2383,83027,100
3021,18,0,410,135,408,44,328,0,1494,82659,100
1958,13,0,500,145,189,385,0,0,1523,77172,96
2450,23,0,942,202,335,966,0,0,1664,96518,94.125
3592,16,0,737,199,411,763,0,21,3601,90228,87.19166667
7990,11,0,204,259,723,128,0,30,1867,99186,91.06666667
6227,10,0,334,222,295,235,0,34,2171,66618,84.4
5190,127,0,449,467,576,187,273,47,156,91735,94.375
10773,133,0,265,270,978,176,18,318,710,75448,87.31666667
5084,8,0,333,103,138,47,310,13,4682,3888,88.38333333
3998,34,0,369,133,153,72,306,9,7677,5064,96.4
2324,9,0,397,137,180,26,324,0,1970,75133,92.8
4634,31,0,890,292,560,85,985,52,132,102,86.66666667
4893,18,0,623,174,184,31,481,8,5987,4772,87.31666667
4447,27,0,265,122,211,56,201,32,3107,5211,92.8
4198,6,0,104,63,118,42,89,21,3718,2999,89.33333333
8686,25,0,100,65,125,22,79,33,6633,3750,94.66666667
7830,6,0,13,44,144,39,23,23,17315,5085,89.33333333
7696,6,0,76,83,162,13,53,35,9901,4774,91.05833333
3527,3,0,44,27,65,0,83,0,2681,1813,90.26666667
3915,5,0,122,75,145,17,92,0,2950,40073,90.625
4265,8,0,177,123,320,20,113,0,670,46766,92.93333333
4552,8,0,49,94,158,18,34,18,14967,93842,81.83333333
3737,6,0,60,61,247,18,50,0,7178,57699,89.33333333
5844,8,0,61,106,279,41,0,24,3601,55752,89.33333333
7091,7,0,41,90,265,30,0,0,3771,42989,91.06666667
4250,4,0,92,55,100,6,72,0,5967,2540,85.43333333
2895,6,0,82,56,155,17,62,0,2666,43026,92
4036,7,0,143,86,296,23,103,0,9486,84431,93.86666667
1666,7,0,273,110,150,26,193,0,1875,51122,89.33333333
1533,8,0,295,114,190,27,204,0,9717,10123,89.33333333
2075,6,0,257,125,165,24,177,24,2906,51426,94.375
3759,6,0,332,159,320,2,19,0,2095,68883,98.03333333
2142,5,0,261,134,125,23,179,0,1273,45399,99.90833333
2026,6,0,262,117,274,25,184,0,2128,46828,100
3607,5,0,281,128,331,2,19,21,2140,59729,87.45833333
2399,5,0,225,84,186,39,176,11,5145,5058,89.19166667
2095,7,0,109,101,214,52,80,0,3300,5208,87.45833333
7680,5,0,190,109,220,47,143,13,3013,3268,89.33333333
4192,4,0,256,132,260,27,184,0,13683,82934,90.66666667
6259,5,0,245,120,199,171,0,0,3318,48382,85.58333333
1203,8,0,306,129,194,205,0,0,14191,10149,89.33333333
1716,8,0,226,123,210,31,155,0,1569,59243,90.26666667
3726,7,0,234,132,312,25,163,0,1424,60105,92.93333333
11402,7,0,346,251,524,28,229,0,13335,92477,91.06666667
1880,8,0,227,143,351,24,150,0,825,52871,95.6
3768,8,0,179,130,256,23,118,0,9185,72653,88
8101,5,0,129,133,351,51,95,24,11889,6417,92.13333333
6545,3,0,157,116,366,46,118,11,14189,5224,95.6
4672,6,0,8,33,161,37,21,0,3520,3361,89.33333333
4996,6,0,10,38,216,34,19,0,11645,5614,89.33333333
2930,6,0,83,99,125,21,58,35,2530,40904,85.44166667
4477,6,0,160,152,417,22,104,46,3245,64104,93.86666667
3688,5,0,166,140,473,21,113,33,1408,40909,86.8
3602,5,0,7,34,220,17,15,24,1476,51137,84.66666667
2958,3,0,4,13,918,14,0,0,14631,75011,93.73333333
3817,6,0,5,15,1181,17,14,0,12813,73452,89.19166667
4524,3,0,4,13,1086,15,0,0,8403,51275,92.8
11092,3,0,7,29,549,16,14,0,14118,81013,93.86666667
7570,0,0,6,24,782,15,14,0,3677,46869,94.66666667
5254,4,0,6,22,612,15,14,0,18547,91173,96.53333333
4386,7,0,263,146,430,26,197,0,4338,87693,92.8
4437,6,0,260,159,405,27,197,0,9319,68893,92.93333333
11702,0,0,5,23,478,16,14,0,16606,93583,92.8
10920,0,0,6,28,421,17,14,0,12636,84191,92
5591,4,0,4,16,1141,14,13,0,2985,46920,89.33333333
899,3,0,43,27,109,30,65,10,697,2050,89.33333333
4976,3,0,4,13,1070,14,13,0,17127,85479,93.73333333
3330,5,0,108,61,388,19,94,0,4519,52952,89.33333333
3558,9,0,89,85,361,21,61,0,3929,62226,85.58333333
15618,4,0,75,67,241,35,63,20,7392,4479,94.66666667
1607,5,0,26,56,184,22,28,24,1763,35212,89.33333333
7728,6,0,244,210,504,22,160,26,2771,53999,91.06666667
3163,5,0,14,51,318,18,19,38,3502,48096,89.325
8,0,47,46,322,57,53,10,6136,4896,,87.6
5,0,87,56,320,20,69,8,9278,5342,,89.33333333
3266,4,0,0,12,522,0,0,0,14889,5367,91.2
6042,7,0,5,29,597,14,0,0,1169,43131,91.06666667
6629,5,0,7,37,492,15,0,0,2598,43016,96.4
3110,3,0,0,8,450,0,0,33,12795,4841,100
2953,6,0,6,28,549,15,0,0,2706,55656,92.8
2259,3,0,0,9,662,0,0,0,2533,31518,86.125
2229,4,0,0,10,1080,0,0,0,2236,34940,91.85833333
3706,4,0,4,21,197,15,14,12,22746,91561,91.2
6074,3,0,4,23,269,15,14,384,4541,2111,88.25833333
3632,3,0,5,27,378,16,14,0,5314,39679,89.33333333
2908,7,0,0,3,290,0,0,17,2827,32464,100
13445,46,0,5,13,812,44,25,0,18465,4854,93.86666667
724,3,0,0,6,204,0,0,0,13824,4547,95.6
4594,3,0,3,15,538,0,0,8,7814,5871,92.13333333
12684,2,0,4,22,676,0,0,20,8011,5392,91.2
2416,4,0,0,10,642,0,0,0,2470,33732,94.53333333
3746,0,0,0,12,339,14,0,0,3106,28464,95.46666667
2498,4,0,0,12,618,16,13,41,2999,34787,94.65833333
1460,4,0,0,6,469,0,0,0,20649,0,92.8
3550,4,0,0,11,374,26,0,13,16784,5318,95.6
3820,8,0,0,11,686,63,0,0,12957,5550,97.33333333
6796,6,0,9,52,548,5,11,16,1030,52126,100
5930,9,0,5,37,1314,18,13,0,3203,73477,92.8
5969,13,0,5,37,1542,20,13,0,3126,83678,98.125
11622,3,0,5,30,890,0,0,10,3177,2936,92.8
5841,20,0,9,52,992,48,0,0,15708,0,91.2
5934,7,0,172,210,533,21,101,33,1022,52749,89.33333333
4662,7,0,163,174,457,21,97,21,1972,53939,89.33333333
4269,8,0,170,138,677,21,107,0,8555,94968,100
4729,6,0,152,155,588,19,96,0,4792,62828,100
6409,3,0,3,21,561,0,0,0,11767,4641,91.2
1765,4,0,0,8,1209,2,2,0,22408,10955,92.8
1548,5,0,0,6,900,14,0,0,20251,88853,85.46666667
1936,4,0,0,7,1024,2,2,0,4630,32976,94.53333333
1648,5,0,0,8,782,14,0,0,6160,33432,96.53333333
1844,5,0,0,8,774,15,0,117,97,38222,96.53333333
5042,4,0,4,20,1043,14,13,69,110,45103,96.25
1124,3,0,0,2,461,0,0,0,3491,19565,96.25
2870,4,0,3,12,1054,14,0,0,1927,33917,94.8
0,0,0,0,0,0,0,0,0,0,0,94.65833333
1124,4,0,8,31,282,16,15,0,2878,27246,89.33333333
10130,6,0,208,183,504,-,-,17,546,42591,88.10833333
2408,7,0,117,59,180,18,87,0,19890,90364,87.45833333
1342,0,0,0,5,638,0,0,0,6917,28290,88.38333333
1292,5,0,0,6,952,14,0,0,23059,97643,90.91666667
3104,6,0,141,110,345,22,97,30,2376,50216,94.51666667
3646,4,0,9,48,395,16,16,47,2851,42234,93.86666667
1137,0,0,0,4,408,0,0,0,3700,18704,89.33333333
2115,5,0,72,81,297,21,55,0,15465,91750,85.58333333
2044,4,0,18,50,153,18,21,33,20060,90451,89.31666667
2092,3,0,0,8,1127,2,2,0,3100,36087,91.46666667
161,0,0,0,0,65,0,0,0,12257,44634,92.93333333
2097,3,0,0,9,815,0,0,0,3909,24238,94.53333333
2005,0,0,0,7,793,0,0,0,6461,28790,91.2
8343,8,0,5,22,640,20,22,38,586,305,85.43333333
2431,10,0,258,151,270,29,176,0,2455,89362,88.38333333
771,3,0,0,2,373,0,0,0,3392,19189,95.6
1812,5,0,7,12,338,15,15,20,2320,38096,97.33333333
655,0,0,0,4,328,0,0,0,3266,20613,90.25
755,4,0,39,32,156,15,33,0,17969,77909,84.13333333
2871,7,0,5,35,623,19,14,0,8021,67745,89.18333333
1660,4,0,3,15,334,15,0,0,16028,70399,94.66666667
1124,3,0,0,2,461,0,0,0,3491,19565,88.25
4471,6,0,114,69,465,21,98,0,5760,61254,90.91666667
802,3,0,0,2,0,0,0,0,4595,24187,94.53333333
